Número da carta,Nome da carta,Descrição,RegraPagamento
1,"Avance para o Ponto de Partida (Go)","Receba $200",RECEBA,200
2,"Erro do banco em seu favor","Receba $200",RECEBA,200
3,"Taxa do médico","Pague $50",PAGUE,50
4,"Abertura da Grande Ópera","Receba $50 de cada jogador pelas entradas",RECEBA,50
5,"Da liquidação fora de estoque","Receba $45",RECEBA,45
6,"Saia livre da prisão, sem pagar","Esta carta pode ser mantida até o uso ou venda.",
7,"Vá para a prisão","Vá direto para a prisão – Não passe pelo ponto de partida – Não receba $200",
8,"Restituição do Imposto de Renda","Receba $20",RECEBA,20
9,"Aniversário do seguro de vida","Receba $100",RECEBA,20
10,"Pague o hospital","Pague $100",PAGUE,100
11,"Pague taxa da escola","Pague $150",PAGUE,150
12,"Receba por seus serviços","Receba $25",RECEBA,25
13,"Aniversário dos fundos de Natal","Receba $100",RECEBA,100
14,"Você tirou o segundo lugar no concurso de beleza","Receba $10",RECEBA,10
15,"Você herdou","Receba $100",RECEBA,100
16,"Você deve pagar os reparos da rua","Pague $40 por cada casa $115 por hotel",PAGUE,40
